Points:
3,7
17,3
0,12
1,17
13,2
14,2
2,9
1,14
11,0
19,0
19,6
8,11
2,8
6,16
18,15
11,9
3,6
5,4
4,13
17,16
1,6
14,4
3,19
19,18
17,6
19,17
7,7
9,5
5,2
7,8
0,8
9,8
1,7
7,5
0,5
17,16
0,13
10,7
2,11
15,18
13,12
13,4
3,18
1,15
19,2
15,12
13,5
9,5
7,19
9,4
15,4
15,10
3,4
18,2
7,1
14,7
7,7
1,1
12,19
16,7
3,6
7,1
18,14
15,13
14,13
15,3
3,16
3,14
0,17
3,6
0,17
15,0
16,0
8,15
15,13
16,15
17,5
7,5
2,12
19,16
12,19
6,19
2,16
1,6
10,15
19,4
5,2
1,16
18,8
6,2
0,10
4,1
1,11
18,4
8,3
14,14
6,18
1,1
1,9
1,10

Cluster Centers:
0,1
6,17
19,11
1,0
16,14
2,17
4,19
1,7
6,16
11,12
